City,Year,AverageTemperature,NO2 Mean,SO2 Mean,CO Mean,Latitude,Longitude,Avg_CO2_natural_pross
Dallas,2003,18.55375,18.26472211581921,0.9719551949152542,0.4231282288135593,32.95,-96.7,205392.55136759096
Dallas,2004,18.58425,16.359083156534954,0.8392644969604863,0.4045311094224924,32.95,-96.7,207367.67381894967
Dallas,2005,19.125083333333333,16.906299246987953,0.8267796295180723,0.4108452861445782,32.95,-96.7,207371.77631833442
Dallas,2006,19.853666666666665,15.28254097359736,0.7161348564356436,0.3404828894389439,32.95,-96.7,206890.55162788602
Dallas,2007,18.416083333333333,15.713369143283582,0.3129849641791045,0.3711248328358209,32.95,-96.7,207704.80204842016
Dallas,2008,18.51825,12.53581149936789,0.5266660088495575,0.2980857951959545,32.95,-96.7,202172.3482385219
Dallas,2009,18.422666666666668,12.460050929936306,0.5350399394904459,0.2840047866242038,32.95,-96.7,189498.2881188209
Dallas,2010,18.686,13.106137717877097,0.6416402248603352,0.2641526005586592,32.95,-96.7,195632.05760612834
Dallas,2011,19.694916666666668,12.95696673235294,0.6412216352941177,0.2936598308823529,32.95,-96.7,193891.25336038158
Dallas,2012,19.99108333333333,11.491539594992636,0.2613785169366716,0.2056801855670103,32.95,-96.7,190565.3256036093
Dallas,2013,20.450777777777777,11.573374493723849,0.1768703040446304,0.2317150871687587,32.95,-96.7,190013.4579393448
Denver,2005,10.055583333333333,31.47457116713881,2.791057586402266,0.7051018541076488,39.38,-104.05,207371.77631833442
Denver,2006,9.9615,29.107710525373136,2.7628052582089557,0.6273393208955224,39.38,-104.05,206890.55162788602
Denver,2007,9.475083333333334,27.028075037790696,2.63949411627907,0.6214317732558139,39.38,-104.05,207704.80204842016
Denver,2008,9.0935,42.04014739047619,4.010977961904762,0.7734203428571429,39.38,-104.05,202172.3482385219
Denver,2012,10.920083333333332,23.99287412480499,2.015795706708269,0.3962903533541342,39.38,-104.05,190565.3256036093
Denver,2013,11.205777777777778,24.06972596875,1.8309069616477276,0.3958970454545454,39.38,-104.05,190013.4579393448
Des Moines,2007,11.209333333333332,7.861895005681817,0.2394459318181818,0.2915689829545455,40.99,-93.73,207704.80204842016
Des Moines,2008,9.496333333333334,8.022635548148148,0.2260024641975308,0.2942713950617284,40.99,-93.73,202172.3482385219
Des Moines,2009,10.008583333333332,8.21748983490566,0.1318362476415094,0.2686384905660377,40.99,-93.73,189498.2881188209
Des Moines,2010,10.716500000000002,8.059113501278771,0.238283246803069,0.289222084398977,40.99,-93.73,195632.05760612834
