City,Year,AverageTemperature,NO2 Mean,SO2 Mean,CO Mean,value,category,Latitude
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.13769349019607843,562.170247661056,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.13769349019607843,410314.239467985,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.13769349019607843,4536.22406636376,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.13769349019607843,9481.91347046768,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.13769349019607843,7762.1372064,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2011,13.557250000000002,11.258673224299065,-0.18253724065420562,0.2844285046728972,5559507.66443653,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2011,13.557250000000002,11.258673224299065,-0.18253724065420562,0.2844285046728972,6865397.90299948,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2011,13.557250000000002,11.258673224299065,-0.18253724065420562,0.2844285046728972,6865397.90299948,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2011,13.557250000000002,11.258673224299065,-0.18253724065420562,0.2844285046728972,146080.595742668,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2011,13.557250000000002,11.258673224299065,-0.18253724065420562,0.2844285046728972,717423.690198875,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2011,13.557250000000002,11.258673224299065,-0.18253724065420562,0.2844285046728972,668.9316610252,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2011,13.557250000000002,11.258673224299065,-0.18253724065420562,0.2844285046728972,416521.779163033,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2011,13.557250000000002,11.258673224299065,-0.18253724065420562,0.2844285046728972,7026.6266586082,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2011,13.557250000000002,11.258673224299065,-0.18253724065420562,0.2844285046728972,9990.14537554644,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2011,13.557250000000002,11.258673224299065,-0.18253724065420562,0.2844285046728972,8178.4697632,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2012,13.996583333333334,10.355307355555555,0.36480123703703704,0.1857231925925926,5349220.94664921,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2012,13.996583333333334,10.355307355555555,0.36480123703703704,0.1857231925925926,6643010.57787319,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2012,13.996583333333334,10.355307355555555,0.36480123703703704,0.1857231925925926,6643010.57787319,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2012,13.996583333333334,10.355307355555555,0.36480123703703704,0.1857231925925926,147249.750868431,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2012,13.996583333333334,10.355307355555555,0.36480123703703704,0.1857231925925926,714401.17249108,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
