City,Year,AverageTemperature,NO2 Mean,SO2 Mean,CO Mean,Avg_CO2_natural_pross,Latitude,Longitude,Cluster
Charlotte,2004,16.7840833333333,11.0699346859756,2.11315652896341,0.431059634146341,207367.67381895,34.56,-81.73,14
Charlotte,2005,16.7121666666667,12.4336324511628,2.15619839069767,0.51773556744186,207371.776318334,34.56,-81.73,14
Charlotte,2006,17.0350833333333,12.2851884305556,2.65816839351852,0.403573548611111,206890.551627886,34.56,-81.73,14
Charlotte,2007,17.4789166666667,13.9164453650138,2.94024620730028,0.375289365013774,207704.80204842,34.56,-81.73,14
Charlotte,2008,16.6560833333333,11.2082033719008,2.07026687465565,0.322851436639118,202172.348238522,34.56,-81.73,14
Charlotte,2009,16.4183333333333,9.85195840285715,0.8021515,0.293876041428571,189498.288118821,34.56,-81.73,23
Charlotte,2010,16.5176666666667,11.6892513567416,0.90441153511236,0.328666504213483,195632.057606128,34.56,-81.73,23
Charlotte,2011,17.2563333333333,9.99517392264416,0.570810545007032,0.338969414205345,193891.253360382,34.56,-81.73,23
Charlotte,2012,17.64225,8.67151139772727,0.2337694375,0.28040618262987,190565.325603609,34.56,-81.73,23
Charlotte,2013,17.705,8.48223218465909,0.253827913352273,0.288644733664773,190013.457939345,34.56,-81.73,23
Chicago,2000,11.0896666666667,31.5054390176678,4.63873554063604,0.632211406360424,202954.840625164,42.59,-87.27,29
Chula Vista,2000,16.9000833333333,16.751818350211,2.65734665611814,0.839298673699016,202954.840625164,32.95,-117.77,3
Chula Vista,2001,16.3741666666667,16.8422959669422,3.31955180716253,0.81224591322314,202533.047669484,32.95,-117.77,3
Chula Vista,2002,16.37275,17.6468263808219,3.6610823260274,0.736889576712329,202507.256316711,32.95,-117.77,3
Chula Vista,2003,17.1001666666667,17.9764037972222,3.5725095,0.738177743055556,205392.551367591,32.95,-117.77,3
Chula Vista,2004,16.8406666666667,16.0356110164384,3.03870374931507,0.716872908219178,207367.67381895,32.95,-117.77,3
Chula Vista,2005,16.9275,16.2460887541899,3.11908847486034,0.675442416201117,207371.776318334,32.95,-117.77,3
Chula Vista,2006,17.2315833333333,16.9394814182825,3.29137528531856,0.61142466066482,206890.551627886,32.95,-117.77,3
Chula Vista,2007,16.80275,15.1849130217391,2.67107671059783,0.660294019021739,207704.80204842,32.95,-117.77,3
Chula Vista,2008,17.2110833333333,14.7297575785124,2.27804069559229,0.596382296143251,202172.348238522,32.95,-117.77,0
Chula Vista,2009,17.03125,13.4036950909091,1.99310256336088,0.548843279614325,189498.288118821,32.95,-117.77,7
Chula Vista,2010,16.1921666666667,21.9045854761905,1.3305949047619,0.729743873015873,195632.057606128,32.95,-117.77,7
Cincinnati,2011,12.6281666666667,12.9569882271881,3.96801459031657,0.260222569832402,193891.253360382,39.38,-85.32,5
Cincinnati,2012,13.5179166666667,13.7434783275862,4.01234593965517,0.239785448275862,190565.325603609,39.38,-85.32,5
Cincinnati,2013,13.3983333333333,11.9789062298137,2.42990818167702,0.243328552795031,190013.457939345,39.38,-85.32,2
Cleveland,2011,11.04425,15.3807314189944,4.85087371927374,0.293886659217877,193891.253360382,40.99,-80.95,5
Cleveland,2012,11.9654166666667,13.8363494147727,3.03569164488636,0.280253948863636,190565.325603609,40.99,-80.95,22
Cleveland,2013,11.8706666666667,12.9290702794521,2.26486090890411,0.242712760273973,190013.457939345,40.99,-80.95,22
Concord,2000,15.022,16.004768,1.55556846418733,0.681022369146005,202954.840625164,37.78,-122.03,15
Concord,2001,15.2469166666667,15.4291242839506,1.13624981550069,0.562337340192044,202533.047669484,37.78,-122.03,15
Concord,2002,14.99625,14.6739415549451,0.761915188186813,0.506172468406594,202507.256316711,37.78,-122.03,15
Concord,2003,15.4250833333333,13.4269500166205,0.589802059556787,0.507037609418283,205392.551367591,37.78,-122.03,15
Concord,2004,15.3749166666667,12.2519519512894,1.02052836819484,0.459770302292264,207367.67381895,37.78,-122.03,15
Concord,2005,15.17125,11.5740220410959,0.952757842465754,0.433029630136986,207371.776318334,37.78,-122.03,15
Concord,2006,15.021,10.8007513178082,0.764503247945205,0.391771710958904,206890.551627886,37.78,-122.03,15
Concord,2007,14.93675,10.6800158136986,0.687936967123288,0.361794097260274,207704.80204842,37.78,-122.03,15
Concord,2008,15.0528333333333,10.1814906311475,0.79590325273224,0.366244349726776,202172.348238522,37.78,-122.03,15
Concord,2009,15.01975,9.30128356593407,0.563026710164835,0.312346736263736,189498.288118821,37.78,-122.03,9
Concord,2010,14.6709166666667,8.38724598022599,0.434712453389831,0.320084233050848,195632.057606128,37.78,-122.03,9
Concord,2011,14.4965833333333,8.7903783890411,0.58099567260274,0.347424710958904,193891.253360382,37.78,-122.03,9
Concord,2012,15.0515833333333,8.35050808493151,0.299966302739726,0.322826978082192,190565.325603609,37.78,-122.03,9
Concord,2013,16.2336666666667,9.14086371780822,0.42074557260274,0.33781562739726,190013.457939345,37.78,-122.03,9
Costa Mesa,2000,16.9000833333333,19.5700879125683,1.85140937704918,0.812796400273224,202954.840625164,32.95,-117.77,3
Costa Mesa,2001,16.3741666666667,16.3677757026239,1.39873075655977,0.605005090379009,202533.047669484,32.95,-117.77,0
Costa Mesa,2002,16.37275,17.6560463600563,1.54824960267229,0.548140563994374,202507.256316711,32.95,-117.77,0
Costa Mesa,2003,17.1001666666667,18.0395645155807,1.00492502832861,0.57855814305949,205392.551367591,32.95,-117.77,0
Costa Mesa,2004,16.8406666666667,15.8159102915452,1.54958106705539,0.479413890670554,207367.67381895,32.95,-117.77,0
Costa Mesa,2005,16.9275,13.138341755287,1.25879346676737,0.297238098187311,207371.776318334,32.95,-117.77,0
